Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Олійник,Аарон,Тарасович,male,1977-10-03,Інженер з якості,місто Олександрівськ,"парк Пантелеймонівська, буд. 55 кв. 18, Українка , 90555",006 212 66 19,ohavryshkevych@example.org
Артимишин,Едуард,Павлович,male,1962-11-08,Системний адміністратор,селище Рені,"вулиця Тираспольське, буд. 9 кв. 5, Первомайський , 39348",882-74-71,antonkalchenko@example.net
Шеремета,Володимира,Назарівна,female,1990-02-27,Аудитор,село Мирноград,"провулок Амурський 1-й, буд. 78, Хрустальний, 60709",+380 42 791 54 88,hreslevko@example.com
Іванченко,Богдан,Михайлович,male,1965-09-07,HR-менеджер,хутір Нова Каховка,"шосе Чапаєва 2-й, буд. 089, Снятин, 30600",882 30 10,larysabaranyk@example.org
Василашко,Охрім,Олегович,male,1938-10-19,Аудитор,селище Підгайці,"парк Буніна, буд. 9 кв. 95, Винники, 46556",+380 45 474 91 75,amvrosii63@example.org
Гузенко,Амвросій,Юрійович,male,1992-01-30,Менеджер з закупівель,селище Волочиськ,"провулок Вєтрогонова, буд. 571 кв. 93, Монастирище, 61314",+380 10 555 53 13,symon97@example.com
Іщак,Пармен,Сергійович,male,2002-09-29,Асистент керівника,селище Чорнобиль,"шосе Водопровідний 1-й, буд. 256 кв. 796, Первомайський , 33880",+380 02 146 68 79,olenaiefymenko@example.net
Титаренко,Лукʼян,Васильович,male,1983-01-09,Системний адміністратор,хутір Корець,"парк Пролетарський 3-й, буд. 445 кв. 0, Пологи , 10062",+380 92 204-51-98,iarynachmil@example.org
Тарасенко,Єфрем,Ігорович,male,2003-01-30,PR-менеджер,місто Бунге ,"вулиця Косий, буд. 588, Джанкой, 01908",091 568-96-37,petrofastenko@example.org
Малик,Ірина,Петрівна,female,1993-12-12,Бухгалтер,хутір Василівка ,"узвіз Різовська, буд. 23, Генічеськ, 66040",046 93 78,khrystyna83@example.org
Ільєнко,Анастасія,Ігорівна,female,1940-03-17,Аудитор,хутір Чортків,"провулок Крушельницької, буд. 5, Кременець, 64123",+380 (71) 996-68-51,oleh92@example.org
Гупало,Франц,Васильович,male,1948-01-08,Аудитор,селище Підгородне,"парк Левітана, буд. 72, Дебальцеве, 72349",956 26 32,ubabarychenko@example.net
Фастенко,Єфрем,Зеновійович,male,1962-11-03,Копірайтер,хутір Сорокине,"провулок Мариністів, буд. 80, Носівка, 68825",+380 (98) 049-31-29,derehusoleksa@example.com
Яремків,Василь,Станіславович,male,1983-10-01,Архітектор,село Вараш,"проспект Будівельна, буд. 3, Волочиськ, 79244",974 37 44,qieshchenko@example.net
Гупало,Семен,Леонідович,male,2001-02-03,Менеджер з продажу,селище Ялта,"парк Садова 3-тя, буд. 0, Житомир, 70467",021 515-43-03,bohuslavahaidamaka@example.org
Ґжицький,Олесь,Володимирович,male,1993-10-06,Бухгалтер,хутір Житомир,"провулок Леха Качинського, буд. 70 кв. 3, Біляївка, 74803",440-39-22,kovalenkoandrii@example.org
Тесленко,Анжела,Данилівна,female,1982-07-10,Аналітик даних,село Зугрес,"проспект Садова 5-та, буд. 17, Сватове, 06070",+380 91 014-39-82,lytvynenkotaras@example.org
Лагода,Юстим,Іванович,male,2007-09-04,Менеджер з продукту,хутір Мирноград,"узвіз Центральний аеропорт, буд. 16 кв. 6, Макіївка, 90596",598 64 40,dzhusteodor@example.com
Бевз,Христина,Ігорівна,female,1944-05-10,Менеджер з продажу,село Костянтинівка,"провулок Градоначальницька, буд. 9 кв. 20, Березівка, 44633",+380 33 120-84-93,tymofii65@example.org
Охріменко,Лариса,Євгенівна,female,1964-09-28,HR-менеджер,хутір Інкерман,"сквер Чорноморський 12-й, буд. 1 кв. 301, Молодогвардійськ, 39257",+380 42 267-54-06,orysiavenhrynovych@example.net
Гаврилюк,Владислав,Сергійович,male,1967-05-16,Програміст,місто Добропілля,"провулок Чорноморський 12-й, буд. 14 кв. 720, Острог, 75575",094 122-28-57,bohodarneporozhnii@example.net
Зінкевич,Демʼян,Петрович,male,1985-06-10,Офіс-менеджер,місто Виноградів,"провулок Бісквітний, буд. 4, Судак , 37500",068 617-51-99,ishchakmarko@example.com
Непорожній,Юхим,Костянтинович,male,1958-07-10,HR-менеджер,селище Лозова ,"вулиця Соляний 3-й, буд. 5 кв. 1, Рудки, 82892",+380 (83) 559-52-08,aprytula@example.net
Радченко,Розалія,Денисівна,female,1998-04-19,Менеджер з продажу,селище Зугрес,"провулок Місячна, буд. 5, Заставна, 51107",006 473 69 77,iurchyshynfeofan@example.net
Дрозденко,Леон,Давидович,male,1986-09-16,Менеджер з маркетингу,місто Чернівці,"вулиця 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 199 кв. 27, Часів Яр, 01723",096 774 20 42,ostap11@example.net
Єрошенко,Амалія,Василівна,female,1987-02-19,Програміст,село Христинівка,"вулиця Ялинковий, буд. 9 кв. 2, Самбір, 85626",+380 25 034-28-90,arkadiihavryliuk@example.com
Фурс,Франц,Марківич,male,1992-09-04,Аудитор,село Долинська,"парк Побратимів, буд. 216, Виноградів, 65630",+380 77 701-09-67,antonaronets@example.com
Скиба,Марта,Володимирівна,female,2008-03-07,Менеджер з маркетингу,місто Тальне,"провулок Мічуріна, буд. 2, Городенка, 75205",012 477-33-65,fvlasiuk@example.net
Франко,Опанас,Кирилович,male,1959-11-24,Менеджер з маркетингу,місто Ромни,"набережна Восьмого березня 8-й, буд. 58 кв. 5, Кіцмань, 18440",592-85-39,ishvaika@example.com
Романець,Вадим,Ігорович,male,1939-05-03,Офіс-менеджер,село Київ,"парк Бессарабська, буд. 132 кв. 1, Канів, 01266",+380 93 447-65-00,tkovalenko@example.com
Чабан,Роксолана,Григоріївна,female,2006-05-22,Інженер з якості,хутір Підгайці,"набережна Пугачова, буд. 76 кв. 0, Кам'янське, 68383",+380 97 838-25-44,korbutserhii@example.net
Давиденко,Ігнат,Романович,male,1939-11-07,Офіс-менеджер,селище Кремінна,"проспект Тополиний, буд. 57, Косів, 64168",+380 58 905-09-08,mykolaideriazhnyi@example.org
Бездітко,Емілія,Назарівна,female,1995-04-17,Кадровий менеджер,хутір Вилкове,"узвіз Танкерна, буд. 815 кв. 99, Балта, 98763",086 887 70 52,nsirko@example.net
Аврамчук,Богуслав,Олексійович,male,2006-01-02,Менеджер з продукту,селище Новгород-Сіверський,"сквер Дворянська, буд. 752 кв. 35, Красноград, 53136",+380 67 023-08-72,fmiroshnychenko@example.org
Рябченко,Азар,Зеновійович,male,1953-05-24,Менеджер з продукту,хутір Старокостянтинів,"проспект Слов'янська, буд. 439 кв. 225, Золотоноша, 91270",+380 64 471 53 70,ustymmasliak@example.net
Пустовіт,Ірена,Костянтинівна,female,1959-06-15,Фінансовий аналітик,селище Покров,"провулок Андреєвського, буд. 8, Моршин, 37957",071 150 41 52,idavymuka@example.com
